


Date	Local_time	Epoch_time	AcqTime_(s)	Line	Species	Flowmeter_(ml/min)	Encoder_counts	Diff_counts	Cond_(uS/cm)	Cond_Temp	Dust(#>1.0Mikrom)	pH450nm	pH586nm	pH589nm	Na410nm	SO4_disabled	Calcium_Counts	Peroxide_Counts	Ammonium_Counts	MQ/SPLE	NEW BAG	BREAK	LOG	
22/10/2019	10:07:52	1571710072.086752410	0.0	Blank	Blank	-1.8590E+0	-3.0000E+0	0.0000E+0	7.1000E-1	2.5400E+1	1.0700E+2	5.9892E+4	2.6309E+4	2.4180E+4	3.4609E+4	NaN	2.6542E+4	4.6540E+3	7.9480E+3	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
22/10/2019	10:07:53	1571710073.086809630	1.0	Blank	Blank	-1.7391E+0	-3.0000E+0	0.0000E+0	7.1000E-1	2.5400E+1	1.0800E+2	5.9985E+4	2.6722E+4	2.4207E+4	3.4127E+4	NaN	2.6722E+4	4.6010E+3	7.9030E+3	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
22/10/2019	10:07:54	1571710074.086866380	2.0	Blank	Blank	-1.9770E+0	-3.0000E+0	0.0000E+0	7.1000E-1	2.5400E+1	1.0300E+2	6.0159E+4	2.6361E+4	2.4243E+4	3.4398E+4	NaN	2.6698E+4	4.7620E+3	7.8290E+3	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
22/10/2019	10:07:55	1571710075.086923600	3.0	Blank	Blank	-2.0827E+0	-3.0000E+0	0.0000E+0	7.1000E-1	2.5400E+1	1.0800E+2	5.9659E+4	2.6623E+4	2.4106E+4	3.4320E+4	NaN	2.6835E+4	4.7140E+3	7.8520E+3	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
22/10/2019	10:07:56	1571710076.086980820	4.0	Blank	Blank	-1.5348E+0	-3.0000E+0	0.0000E+0	7.1000E-1	2.5400E+1	1.0500E+2	5.9940E+4	2.6429E+4	2.3959E+4	3.4029E+4	NaN	2.6886E+4	4.6620E+3	7.8230E+3	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
22/10/2019	10:07:57	1571710077.087038040	5.0	Blank	Blank	-1.7216E+0	-3.0000E+0	0.0000E+0	7.1000E-1	2.5400E+1	8.7000E+1	5.9928E+4	2.6939E+4	2.3760E+4	3.4203E+4	NaN	2.6705E+4	4.7310E+3	7.8670E+3	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
22/10/2019	10:07:58	1571710078.087095260	6.0	Blank	Blank	-1.9071E+0	-3.0000E+0	0.0000E+0	7.1000E-1	2.5400E+1	1.0800E+2	5.9885E+4	2.6399E+4	2.3559E+4	3.4375E+4	NaN	2.6599E+4	4.5710E+3	7.8580E+3	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
22/10/2019	10:07:59	1571710079.087152480	7.0	Blank	Blank	-1.6737E+0	-3.0000E+0	0.0000E+0	7.1000E-1	2.5400E+1	1.0100E+2	6.0100E+4	2.6336E+4	2.4415E+4	3.4443E+4	NaN	2.6606E+4	4.7290E+3	7.8420E+3	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
22/10/2019	10:08:00	1571710080.087209700	8.0	Blank	Blank	-1.9110E+0	-3.0000E+0	0.0000E+0	7.1000E-1	2.5400E+1	8.5000E+1	5.9845E+4	2.6460E+4	2.3830E+4	3.4355E+4	NaN	2.6840E+4	4.7560E+3	7.9140E+3	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
22/10/2019	10:08:01	1571710081.087266920	9.0	Blank	Blank	-2.1131E+0	-3.0000E+0	0.0000E+0	7.1000E-1	2.5400E+1	8.3000E+1	5.9874E+4	2.6151E+4	2.4108E+4	3.4328E+4	NaN	2.6639E+4	4.7730E+3	7.8290E+3	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
