#Core, Mnt_Brown
#Top bag, 224
#Bottom bag, 232
#Loading differential counts used, 14.2
#Counts per mm, 25.0
#Intervals in secs used for core loading:
#1696, 1734
#3330, 3377
#4938, 4993
#6550, 6607
#8015, 8068
#9587, 9640
#11244, 11292
#12563, 12613
#13150, 13207
#
Elapsed_time	Epoch_time	Total_length
0	1571710456.09	0.60
1	1571710457.09	1.36
2	1571710458.09	2.16
3	1571710459.09	2.88
4	1571710460.09	3.56
5	1571710461.09	4.16
6	1571710462.09	4.92
7	1571710463.09	5.48
8	1571710464.09	6.04
9	1571710465.09	6.60
10	1571710466.09	7.12
11	1571710467.09	7.64
12	1571710468.09	8.16
13	1571710469.09	8.72
14	1571710470.09	9.28
15	1571710471.09	9.80
16	1571710472.09	10.40
17	1571710473.09	10.92
18	1571710474.09	11.44
19	1571710475.09	12.00
20	1571710476.09	12.56
21	1571710477.09	13.08
22	1571710478.09	13.64
23	1571710479.09	14.20
24	1571710480.09	14.72
25	1571710481.09	15.32
26	1571710482.09	15.88
27	1571710483.09	16.40
28	1571710484.09	17.00
29	1571710485.09	17.52
30	1571710486.09	18.12
31	1571710487.09	18.68
32	1571710488.09	19.28
33	1571710489.09	19.84
34	1571710490.09	20.36
35	1571710491.09	20.92
36	1571710492.09	21.48
37	1571710493.09	22.04
38	1571710494.09	22.56
39	1571710495.09	23.08
40	1571710496.09	23.60
41	1571710497.09	24.12
42	1571710498.09	24.68
43	1571710499.09	25.24
44	1571710500.09	25.76
45	1571710501.09	26.28
46	1571710502.09	26.84
47	1571710503.09	27.36
48	1571710504.09	27.84
49	1571710505.09	28.36
50	1571710506.09	28.92
51	1571710507.09	29.44
52	1571710508.09	30.00
53	1571710509.09	30.56
54	1571710510.09	31.04
55	1571710511.09	31.60
56	1571710512.09	32.12
57	1571710513.09	32.60
58	1571710514.09	33.12
59	1571710515.09	33.68
60	1571710516.09	34.24
61	1571710517.09	34.80
62	1571710518.09	35.32
63	1571710519.09	35.84
64	1571710520.09	36.36
65	1571710521.09	36.88
66	1571710522.09	37.40
67	1571710523.09	37.92
68	1571710524.09	38.44
69	1571710525.09	38.92
70	1571710526.09	39.44
71	1571710527.09	39.92
72	1571710528.09	40.44
73	1571710529.09	40.96
74	1571710530.09	41.44
75	1571710531.09	41.92
76	1571710532.09	42.44
77	1571710533.09	42.92
78	1571710534.09	43.44
79	1571710535.09	43.92
80	1571710536.09	44.40
81	1571710537.09	44.92
82	1571710538.09	45.40
83	1571710539.09	45.92
84	1571710540.09	46.40
85	1571710541.09	46.88
86	1571710542.09	47.40
87	1571710543.09	47.88
88	1571710544.09	48.40
89	1571710545.09	48.88
90	1571710546.09	49.36
91	1571710547.09	49.88
92	1571710548.09	50.36
93	1571710549.09	50.84
94	1571710550.09	51.32
95	1571710551.09	51.80
96	1571710552.09	52.28
97	1571710553.09	52.80
98	1571710554.09	53.28
99	1571710555.09	53.80
100	1571710556.09	54.28
101	1571710557.09	54.76
102	1571710558.09	55.24
103	1571710559.09	55.76
104	1571710560.09	56.32
105	1571710561.09	56.80
106	1571710562.09	57.28
107	1571710563.09	57.76
108	1571710564.09	58.24
109	1571710565.09	58.72
110	1571710566.09	59.20
111	1571710567.09	59.68
112	1571710568.09	60.16
113	1571710569.09	60.64
114	1571710570.09	61.12
115	1571710571.09	61.64
116	1571710572.09	62.12
117	1571710573.09	62.60
118	1571710574.09	63.12
119	1571710575.09	63.60
120	1571710576.09	64.08
121	1571710577.09	64.60
122	1571710578.09	65.08
123	1571710579.09	65.56
124	1571710580.09	66.08
125	1571710581.09	66.56
126	1571710582.09	67.04
127	1571710583.09	67.56
128	1571710584.09	68.04
129	1571710585.09	68.52
130	1571710586.09	69.04
131	1571710587.09	69.52
132	1571710588.09	70.00
133	1571710589.09	70.52
134	1571710590.09	71.00
135	1571710591.09	71.48
136	1571710592.09	72.00
137	1571710593.09	72.48
138	1571710594.09	72.96
139	1571710595.09	73.48
140	1571710596.09	74.00
141	1571710597.09	74.48
142	1571710598.09	75.00
143	1571710599.09	75.48
144	1571710600.09	76.00
145	1571710601.09	76.52
146	1571710602.09	77.00
147	1571710603.09	77.52
148	1571710604.09	78.00
149	1571710605.09	78.52
150	1571710606.09	79.00
151	1571710607.09	79.52
152	1571710608.09	80.04
153	1571710609.09	80.52
154	1571710610.09	81.04
155	1571710611.09	81.56
156	1571710612.09	82.04
157	1571710613.09	82.56
158	1571710614.09	83.08
159	1571710615.09	83.56
160	1571710616.09	84.08
161	1571710617.09	84.60
162	1571710618.09	85.08
163	1571710619.09	85.60
164	1571710620.09	86.12
165	1571710621.09	86.64
166	1571710622.09	87.16
167	1571710623.09	87.68
168	1571710624.09	88.20
169	1571710625.09	88.68
170	1571710626.09	89.20
171	1571710627.09	89.72
172	1571710628.09	90.28
173	1571710629.09	90.80
174	1571710630.09	91.32
175	1571710631.09	91.84
176	1571710632.09	92.40
177	1571710633.09	93.08
178	1571710634.09	93.80
179	1571710635.09	94.32
180	1571710636.09	94.88
181	1571710637.09	95.44
182	1571710638.09	96.04
183	1571710639.09	96.60
184	1571710640.09	97.20
185	1571710641.09	97.84
186	1571710642.09	98.40
187	1571710643.09	99.00
188	1571710644.09	99.60
189	1571710645.09	100.16
190	1571710646.09	100.76
191	1571710647.09	101.32
192	1571710648.09	101.92
193	1571710649.09	102.48
194	1571710650.09	103.04
195	1571710651.09	103.64
196	1571710652.09	104.20
197	1571710653.09	104.80
198	1571710654.09	105.36
199	1571710655.09	105.96
200	1571710656.09	106.52
201	1571710657.09	107.12
202	1571710658.09	107.68
203	1571710659.09	108.28
204	1571710660.09	108.88
205	1571710661.09	109.76
206	1571710662.09	110.08
207	1571710663.09	110.40
208	1571710664.09	110.96
209	1571710665.09	111.52
210	1571710666.09	112.12
211	1571710667.09	112.68
212	1571710668.09	113.24
213	1571710669.09	113.80
214	1571710670.09	114.32
215	1571710671.09	114.88
216	1571710672.09	115.44
217	1571710673.09	116.00
218	1571710674.09	116.48
219	1571710675.09	116.92
220	1571710676.09	117.48
221	1571710677.09	118.04
222	1571710678.09	118.64
223	1571710679.09	119.16
224	1571710680.09	119.72
225	1571710681.09	120.32
226	1571710682.09	120.88
227	1571710683.09	121.44
228	1571710684.09	121.92
229	1571710685.09	122.48
230	1571710686.09	123.04
231	1571710687.09	123.60
232	1571710688.09	124.12
233	1571710689.09	124.68
234	1571710690.09	125.24
235	1571710691.09	125.80
236	1571710692.09	126.36
237	1571710693.09	127.16
238	1571710694.09	127.96
239	1571710695.09	128.68
240	1571710696.09	129.32
241	1571710697.09	129.96
242	1571710698.09	130.64
243	1571710699.09	131.36
244	1571710700.09	132.04
245	1571710701.09	132.44
246	1571710702.09	133.12
247	1571710703.09	133.72
248	1571710704.09	134.32
249	1571710705.09	134.88
250	1571710706.09	135.44
251	1571710707.09	136.00
252	1571710708.09	136.60
253	1571710709.09	137.16
254	1571710710.09	137.72
255	1571710711.09	138.32
256	1571710712.09	138.88
257	1571710713.09	139.48
258	1571710714.09	140.08
259	1571710715.09	140.64
260	1571710716.09	141.24
261	1571710717.09	141.84
262	1571710718.09	142.44
263	1571710719.09	143.00
264	1571710720.09	143.60
265	1571710721.09	144.24
266	1571710722.09	144.88
267	1571710723.09	145.48
268	1571710724.09	146.12
269	1571710725.09	146.76
270	1571710726.09	147.36
271	1571710727.09	147.96
272	1571710728.09	148.56
273	1571710729.09	149.12
274	1571710730.09	149.72
275	1571710731.09	150.32
276	1571710732.09	150.88
277	1571710733.09	151.48
278	1571710734.09	152.08
279	1571710735.09	152.64
280	1571710736.09	153.20
281	1571710737.09	153.84
282	1571710738.09	154.40
283	1571710739.09	155.04
284	1571710740.09	155.64
285	1571710741.09	156.28
286	1571710742.09	156.88
287	1571710743.09	157.52
288	1571710744.09	158.16
289	1571710745.09	158.76
290	1571710746.09	159.40
291	1571710747.09	160.04
292	1571710748.09	160.60
293	1571710749.09	161.16
294	1571710750.09	161.76
295	1571710751.09	162.36
296	1571710752.09	162.92
297	1571710753.09	163.52
298	1571710754.09	164.12
299	1571710755.09	164.68
300	1571710756.09	165.28
301	1571710757.09	165.84
302	1571710758.09	166.44
303	1571710759.09	167.00
304	1571710760.09	167.60
305	1571710761.09	168.20
306	1571710762.09	168.60
307	1571710763.09	169.20
308	1571710764.09	169.76
309	1571710765.09	170.32
310	1571710766.09	170.92
311	1571710767.09	171.48
312	1571710768.09	172.04
313	1571710769.09	172.60
314	1571710770.09	173.16
315	1571710771.09	173.72
316	1571710772.09	174.32
317	1571710773.09	174.88
318	1571710774.09	175.44
319	1571710775.09	176.04
320	1571710776.09	176.60
321	1571710777.09	177.20
322	1571710778.09	177.76
323	1571710779.09	178.36
324	1571710780.09	178.92
325	1571710781.09	179.52
326	1571710782.09	180.08
327	1571710783.09	180.68
328	1571710784.09	181.24
329	1571710785.09	181.84
330	1571710786.09	182.44
331	1571710787.09	183.04
332	1571710788.09	183.64
333	1571710789.09	184.24
334	1571710790.09	184.80
335	1571710791.09	185.40
336	1571710792.09	186.00
337	1571710793.09	186.60
338	1571710794.09	187.20
339	1571710795.09	187.80
340	1571710796.09	188.44
341	1571710797.09	189.04
342	1571710798.09	189.64
343	1571710799.09	190.24
344	1571710800.09	190.84
345	1571710801.09	191.48
346	1571710802.09	192.08
347	1571710803.09	192.72
348	1571710804.09	193.32
349	1571710805.09	193.96
350	1571710806.09	194.56
351	1571710807.09	195.20
352	1571710808.09	195.84
353	1571710809.09	196.44
354	1571710810.09	197.08
355	1571710811.09	197.68
356	1571710812.09	198.32
357	1571710813.09	198.96
358	1571710814.09	199.60
359	1571710815.09	200.24
360	1571710816.09	200.88
361	1571710817.09	201.48
362	1571710818.09	202.12
363	1571710819.09	202.76
364	1571710820.09	203.40
365	1571710821.09	204.04
366	1571710822.09	204.68
367	1571710823.09	205.28
368	1571710824.09	205.92
369	1571710825.09	206.56
370	1571710826.09	207.20
371	1571710827.09	207.84
372	1571710828.09	208.48
373	1571710829.09	209.12
374	1571710830.09	209.76
375	1571710831.09	210.40
376	1571710832.09	211.04
377	1571710833.09	211.68
378	1571710834.09	212.32
379	1571710835.09	212.96
380	1571710836.09	213.60
381	1571710837.09	214.24
382	1571710838.09	214.88
383	1571710839.09	215.52
384	1571710840.09	216.16
385	1571710841.09	216.80
386	1571710842.09	217.44
387	1571710843.09	218.08
388	1571710844.09	218.72
389	1571710845.09	219.36
390	1571710846.09	220.00
391	1571710847.09	220.64
392	1571710848.09	221.28
393	1571710849.09	221.92
394	1571710850.09	222.56
395	1571710851.09	223.16
396	1571710852.09	223.80
397	1571710853.09	224.44
398	1571710854.09	225.08
399	1571710855.09	225.72
400	1571710856.09	226.36
401	1571710857.09	226.96
402	1571710858.09	227.60
403	1571710859.09	228.24
404	1571710860.09	228.84
405	1571710861.09	229.48
406	1571710862.09	230.12
407	1571710863.09	230.72
408	1571710864.09	231.36
409	1571710865.09	231.96
410	1571710866.09	232.60
411	1571710867.09	233.20
412	1571710868.09	233.84
413	1571710869.09	234.44
414	1571710870.09	235.08
415	1571710871.09	235.68
416	1571710872.09	236.32
417	1571710873.09	236.92
418	1571710874.09	237.56
419	1571710875.09	238.16
420	1571710876.09	238.76
421	1571710877.09	239.36
422	1571710878.09	240.00
423	1571710879.09	240.60
424	1571710880.09	241.20
425	1571710881.09	241.84
426	1571710882.09	242.44
427	1571710883.09	243.04
428	1571710884.09	243.68
429	1571710885.09	244.28
430	1571710886.09	244.88
431	1571710887.09	245.48
432	1571710888.09	246.12
433	1571710889.09	246.72
434	1571710890.09	247.32
435	1571710891.09	247.92
436	1571710892.09	248.56
437	1571710893.09	249.16
438	1571710894.09	249.76
439	1571710895.09	250.36
440	1571710896.09	250.96
441	1571710897.09	251.60
442	1571710898.09	252.20
443	1571710899.09	252.80
444	1571710900.09	253.40
445	1571710901.09	254.00
446	1571710902.09	254.60
447	1571710903.09	255.20
448	1571710904.09	255.80
449	1571710905.09	256.40
450	1571710906.09	257.04
451	1571710907.09	257.64
452	1571710908.09	258.24
453	1571710909.09	258.88
454	1571710910.09	259.48
455	1571710911.09	260.08
456	1571710912.09	260.68
457	1571710913.09	261.28
458	1571710914.09	261.88
459	1571710915.09	262.52
460	1571710916.09	263.12
461	1571710917.09	263.72
462	1571710918.09	264.32
463	1571710919.09	264.96
464	1571710920.09	265.56
465	1571710921.09	266.16
466	1571710922.09	266.76
467	1571710923.09	267.40
468	1571710924.09	268.00
469	1571710925.09	268.60
470	1571710926.09	269.24
471	1571710927.09	269.84
472	1571710928.09	270.44
473	1571710929.09	271.04
474	1571710930.09	271.64
475	1571710931.09	272.28
476	1571710932.09	272.88
477	1571710933.09	273.48
478	1571710934.09	274.08
479	1571710935.09	274.72
480	1571710936.09	275.32
481	1571710937.09	275.92
482	1571710938.09	276.56
483	1571710939.09	277.16
484	1571710940.09	277.76
485	1571710941.09	278.36
486	1571710942.09	279.00
487	1571710943.09	279.60
488	1571710944.09	280.20
489	1571710945.09	280.80
490	1571710946.09	281.44
491	1571710947.09	282.04
492	1571710948.09	282.64
493	1571710949.09	283.24
494	1571710950.09	283.84
495	1571710951.09	284.48
496	1571710952.09	285.08
497	1571710953.09	285.68
498	1571710954.09	286.28
499	1571710955.09	286.88
500	1571710956.09	287.48
501	1571710957.09	288.08
502	1571710958.09	288.72
503	1571710959.09	289.32
504	1571710960.09	289.92
505	1571710961.09	290.52
506	1571710962.09	291.12
507	1571710963.09	291.76
508	1571710964.09	292.36
509	1571710965.09	292.96
510	1571710966.09	293.56
511	1571710967.09	294.16
512	1571710968.09	294.76
513	1571710969.09	295.40
514	1571710970.09	296.00
515	1571710971.09	296.60
516	1571710972.09	297.20
517	1571710973.09	297.80
518	1571710974.09	298.40
519	1571710975.09	299.04
520	1571710976.09	299.64
521	1571710977.09	300.24
522	1571710978.09	300.84
523	1571710979.09	301.44
524	1571710980.09	302.04
525	1571710981.09	302.64
526	1571710982.09	303.24
527	1571710983.09	303.84
528	1571710984.09	304.44
529	1571710985.09	305.04
530	1571710986.09	305.64
531	1571710987.09	306.24
532	1571710988.09	306.88
533	1571710989.09	307.48
534	1571710990.09	308.08
535	1571710991.09	308.68
536	1571710992.09	309.28
537	1571710993.09	309.88
538	1571710994.09	310.48
